Event,Date,Venue,Organizer,Production,Photographer,Starkwood Credited,Artists / Lineup,Source Post URL,Album URL,Local Folder,Photos Downloaded
Marians | Surendra | Baig Club Night 24,2024-11-28,,,,Sanka D Photography,Not stated in post,,https://www.facebook.com/share/p/19YbXXQRDQ/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.1109117930657587,Imgs/facebook-events/marians-surendra-baig-2024,8
Ru Sanda Rae (රූ සඳ රෑ) in Melbourne | Highlights,2024-09-05,"Palais Theatre, St Kilda, Melbourne",7 Zone Entertainment,Starkwood Events,Sanka D Photography,Yes,"Rookantha Goonatillake; Chandralekha Perera; Raini Charuka Goonatillake; Windy Goonatillake; Sanuka Wickramasinghe (music direction: Suresh Maliyadde)",https://www.facebook.com/share/p/19d7J45YYY/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.1051198739782840,Imgs/facebook-events/ru-sanda-rae-2024,8
WAYO live in Melbourne | WAYO,2024-03-01,,7 Zone Entertainment,Starkwood Events,Sanka D Photography,Yes,WAYO,https://www.facebook.com/share/p/1DU8efamqT/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.941181627451219,Imgs/facebook-events/wayo-concert-2024,8
'WAYO' in Melbourne Club Night Highlights,2024-02-25,,7 Zone Entertainment,Starkwood Events,Sanka D Photography,Yes,WAYO,https://www.facebook.com/share/p/1DWxrYGa5r/,https://www.facebook.com/photo/?fbid=938179997751382&set=pcb.938188944417154,Imgs/facebook-events/wayo-highlights-2024,1
Aluth Kalawak - අලුත් කලාවක් (Melbourne),2023-10-24,Melbourne,7 Zone Entertainment & Nexxt Entertainment (presented by Janiya & Show Up Global),Starkwood Events,Sanka D Photography,Yes,"Iraj; Bathiya and Santhush; Ashanthi; Sureni; 6th Lane; Fill T; Romesh Lakshan; Centigradz; Randhir Withana; Lahiru Perera",https://www.facebook.com/share/p/1HxVi4mkL8/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.871636067739109,Imgs/facebook-events/aluth-kalawak-2023,8
"""Sundown"" Live in Concert Melbourne",2023-03-13,Caribbean Park,Illumination Events & Indigo Multi Services,Not stated in post,Sanka D Photography,Not stated in post,"Sarith and Surith; Sanuka Wickramasinghe; Windy Goonatillake; Dinesh Gamage; JayaSri; Kizer Kiz; Athula Adikari; Manuranga Wijesekara",https://www.facebook.com/share/p/19Kw5fDuyc/,https://www.facebook.com/photo/?fbid=753906586178725&set=pcb.753975159505201,(not downloaded - single photo only reachable),0
මාත්‍රා Maathra Melbourne 2022,2022-09-19,The Timber Yard,Illumination Events,Starkwood Entertainment,"Sanka D Photography, 89Cinema",Yes (as ""Starkwood Entertainment""),"Senaka Batagoda; 2FoRTy2",https://www.facebook.com/share/p/1CfQVfy1qu/,https://www.facebook.com/photo/?fbid=632189128350472&set=pcb.632348601667858,Imgs/facebook-events/maathra-2022,1
"Chamara | Damith ""සිතින් විතරක්"" Vol 02 Live Concert 2022 (Illumination Events album)",2022-09-16,,Illumination Events,Not stated in post,Sanka D Photography,Not stated in post,Chamara Weerasinghe; Damith Asanka,https://www.facebook.com/media/set/?vanity=IlluminationEventsAus&set=a.5381255195276428,https://www.facebook.com/media/set/?vanity=IlluminationEventsAus&set=a.5381255195276428,Imgs/facebook-events/chamara-damith-vol02-a,17
"Chamara | Damith ""සිතින් විතරක්"" Vol 02 Live Concert 2022 (Sanka D Photography album)",2022-09-16,,,Not stated in post,Sanka D Photography,Not stated in post,Chamara Weerasinghe; Damith Asanka,https://www.facebook.com/share/p/1J57D6Tmc7/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.630185141884204,Imgs/facebook-events/chamara-damith-vol02-b,8
Sarith Surith with NEWS Sundown Concert 2022 - Live in Melbourne,2022-05-06,Melbourne,Illumination Events,Not stated in post,Sanka D Photography,Not stated in post,Sarith Surith; NEWS,https://www.facebook.com/share/p/1BwoQfKVpK/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.541567614079291,Imgs/facebook-events/sarith-surith-news-sundown-2022,8
Our Style Unlimited 2021,2021-05-15,Brown Alley,Our Style Crew,NOT Starkwood - no Starkwood credit in post,Sanka D Photography,No,"DJ Rush; DJ Naana; Warren J; DJ Embroze; Dan Cee; Naz Productions; Killamatec; DJ Dilisha De; Ka$h n D; Nitro Jaxx; Looqs; @sojourn; Erica Dal; Andrej",https://www.facebook.com/share/p/18o1tySFSH/,https://www.facebook.com/media/set/?vanity=SankaDPhotography&set=a.4278388195513580,(download failed - 404, post has paid-partnership restrictions),0
